Agent,Concentration,Dye1,Dye2,Dye3,Dye4,Dye5,Dye6,Dye7,Dye8,Dye9,Dye10,Dye11,Dye12,Dye13,Dye14,Dye15,Dye16,Dye17,Dye18,Dye19,Dye20,Dye21,Dye22,Dye23,Dye24,Dye25,Dye26,Dye27,Dye28,Dye29
HD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HD,10,0.747181135,0.255071026,1.002099402,0,1.962818369,1.154801232,1.126815803,1.073118021,1.090771751,1.461695002,0.331185976,3.127456114,1.95630299,1.045764445,0.887330065,0.540331217,1.224671329,0.615380516,2.772346625,0.251265432,1.663618999,1.350622186,1.303393463,3.471013316,2.601442094,1.708538105,1.581775671,0.501321892,0.345798225
HD,50,1.108382936,1.114527459,2.65767584,0.993904695,1.19794087,0.920735747,0.561366202,2.095466512,0.296909418,1.390925713,0.568592483,1.908607859,2.960687076,4.808554955,1.816878105,0.808464426,0.688029451,0.615380516,0.392532648,0.250077485,2.236614147,0.251849579,0.253055897,1.582887971,3.035155404,0.856709727,1.34603368,0.606158622,0.096266228
HD,100,0.247891174,0.757897209,2.367872377,0.251428812,1.254994339,1.000808988,0.979433289,1.073118021,1.36809286,1.143573383,0.741922355,2.351908583,2.960687076,3.162857564,2.083598608,0.783009516,1.546334275,0,2.432395153,0.998143739,2.247195474,0,1.912334289,3.740478804,1.903408891,1.365502842,1.115156118,1.210372806,0.396941197
HD,500,1.760058686,0,1.510101381,1.514288898,1.543354261,0.359095024,1.126815803,1.28131967,1.262078938,0.862796065,0.325398634,2.74407911,2.807753259,8.834245416,2.528796076,1.272410118,0.910989677,0.279639994,2.772346625,0.998143739,0.771368958,0,1.973954103,3.958844933,2.146023914,1.484264134,1.806073028,1.044534549,0.932219029
HN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HN,10,0.608861998,0.253845036,1.518069574,1.129159275,1.507904868,1.452610674,0.546700277,0.876209367,1.297887956,1.71530138,0.481057016,2.861507101,1.797139987,1.81975239,4.124457564,2.424258655,2.689338956,1.10882043,3.614843656,1.196157455,1.912319826,1.920602104,1.309720765,1.969355867,2.664606734,1.027046855,1.519931791,1.012256673,0.909713578
HN,50,0.758054217,1.113488861,2.036371199,1.144435987,0.416335021,0.60983895,0.607879813,1.08031038,0.295952197,1.71530138,0.564787935,1.63361702,2.801856965,6.360268133,9.342909405,4.754594661,0.755034502,2.01622798,2.232837818,1.109626613,2.463964807,0.51726869,0.960971416,1.071332864,2.664606734,1.517364434,1.58681359,1.350808105,0.936926382
HN,100,0.606389118,1.16046323,1.753870596,0.499295432,1.599635504,0.666147688,0.720861795,1.412139151,1.228657332,1.364297903,0.930420476,1.72253728,2.837594775,4.083338789,11.29012995,4.754594661,0.834343287,0.963243576,5.359254607,2.410177863,2.518779134,0.256746748,2.080507107,3.552473163,2.130551524,0.258391336,1.714102742,1.726426413,1.399491072
HN,500,1.619974448,0.252631026,0.87562494,1.352966001,1.525786551,0.996571811,0.546700277,1.952328824,1.228657332,0.836596318,0.564787935,2.047959201,4.755269709,4.255968619,15.49695385,4.985820819,3.424040225,1.666877008,5.362212177,2.930461107,0.15458482,1.359037049,2.080507107,3.131216688,1.94137679,1.050386269,1.814946487,2.105526778,0
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L,10,0.247723581,0.253845036,3.987984056,1.145745711,1.127022576,1.520218394,0.245588547,1.402230539,1.884533288,1.405411038,1.416677631,3.571077809,4.151743073,4.787306297,4.5410997,3.060626772,16.5091957,10.62994031,3.590582175,5.066165821,2.573655326,0,0.897271476,2.132092047,3.512155617,1.21089879,2.259019712,0.76101182,0.850566091
L,50,0.246568371,1.149733081,3.734243576,0.494290169,0.299233962,0.351035288,1.689635898,27.34914179,3.852089414,1.904767431,1.399941757,2.408177863,4.968763281,4.753425082,7.627471265,6.445953554,18.42740154,20.53381011,4.97016042,5.037676178,2.9244795,0.897271476,0.532727676,1.912017774,3.676776633,1.652388876,1.306026882,1.303393463,0.607986841
L,100,0.247723581,1.522438793,2.316754873,1.232901179,0.494805999,0.954426761,4.788585191,37.73546904,3.217387528,0.977792171,1.702690576,3.013342665,4.715148296,8.568935884,8.841103698,6.470807789,18.4707792,20.31291293,11.60941582,5.045499696,3.110479661,1.89266654,1.346423583,3.153579167,3.098574985,1.218921901,1.944342872,1.214332315,0.877253766
L,500,1.900966693,0.252631026,1.373654405,0.735809981,0.861898,0.378716042,9.535891115,46.5916205,8.167757424,0.348620047,1.399941757,2.684093149,4.499930192,0.984835998,13.05329892,6.470807789,19.10126346,20.22330685,18.25971154,5.066165821,1.942697219,1.207882102,0.897271476,3.153579167,2.31380442,1.218921901,2.831887371,1.792969495,0.494405341
PS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS,10,1.151539263,1.524157066,3.089261587,0.757897209,0.867041814,1.176179712,1.230896831,1.280197649,0.958333835,0.685517143,0.481867614,2.427416852,1.227324246,2.829865963,3.622249662,3.669363137,4.114148106,2.103314719,5.222637315,0.259193407,3.485372912,0.523872748,0.26792757,4.255250557,2.383717586,1.306851573,2.191584434,0,0.35100577
PS,50,0.560850392,1.208982451,1.696381957,1.147065046,0.244944596,0.175654706,0,0,0.854380111,1.354539841,0.049747023,2.111588904,2.643295774,2.530575922,1.92720294,6.628641096,0.684088127,3.277125839,3.14727995,0.514600591,1.971590751,1.587428219,0.269297624,2.876215863,3.5388899,0.715639338,2.678504772,0.259999229,0.713611374
PS,100,0.916848517,1.236965356,0.994863577,1.20533987,1.964515139,0.612249181,0.491990693,1.02676071,0.710125413,0.506753761,0.562865913,1.884670982,2.054560012,1.009869165,4.569910573,6.96834955,2.076577128,6.820559526,7.559342753,1.334688319,4.000832957,1.319534628,2.106045294,5.239025689,2.00899419,2.422229783,3.451304364,0.783865558,0.687824117
PS,500,2.598320831,1.022764992,3.194671258,1.151539263,1.61189462,0.361295325,1.358819164,1.034099733,0.185451885,0.343875321,0.607932136,1.773409609,1.228981655,3.842740105,4.556670827,6.954936124,9.290778501,14.23008911,9.071986508,4.598691148,2.484993689,1.052985212,0,4.013789778,2.00899419,2.422229783,3.509017512,2.221482987,2.011491293
